what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1349585509271
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1349585509271
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1349585509271
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1349585509271
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1349585509271
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1349585509271
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1349585509271
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1349585509271
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1349585509271
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1349585509271
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1349585509271
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1349585509271
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349585509271
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1349585509281
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349585509281
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1349585509281
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1349585509281
os,sysinfo,,,"win32",1349585509281
arch,sysinfo,,,"x86",1349585509281
ws,sysinfo,,,"win32",1349585509281
locale,sysinfo,,,"en_US",1349585509281
processors,sysinfo,,,"4",1349585509281
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349585509281
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1349585509281
java.specification.name,sysinfo,,,"Java Platform API Specification",1349585509281
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349585509281
java.specification.version,sysinfo,,,"1.6",1349585509281
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349585509281
java.version,sysinfo,,,"1.6.0_30",1349585509281
java.vm.info,sysinfo,,,"mixed mode, sharing",1349585509281
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349585509281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349585509281
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349585509281
java.vm.specification.version,sysinfo,,,"1.0",1349585509281
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349585509281
java.vm.version,sysinfo,,,"20.5-b03",1349585509281
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1349585513703
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1349585513913
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1349585513923
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1349585513923
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1349585513923
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1349585513923
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1349585513923
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1349585513923
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1349585513923
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1349585513923
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1349585513923
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1349585513933
stopped,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1349585513933
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1349585513973
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1349585513973
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1349585513983
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1349585513983
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1349585513983
